,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
3,4,Charmander,Fire,,309,39,52,43,60,50,65,1,False
4,5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False
5,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
36,37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False
37,38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False
57,58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False
58,59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False
76,77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False
77,78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False
125,126,Magmar,Fire,,495,65,95,57,100,85,93,1,False
135,136,Flareon,Fire,,525,65,130,60,95,110,65,1,False
145,146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True
