,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
6,7,Squirtle,Water,,314,44,48,65,50,64,43,1,False
7,8,Wartortle,Water,,405,59,63,80,65,80,58,1,False
8,9,Blastoise,Water,,530,79,83,100,85,105,78,1,False
53,54,Psyduck,Water,,320,50,52,48,65,50,55,1,False
54,55,Golduck,Water,,500,80,82,78,95,80,85,1,False
59,60,Poliwag,Water,,300,40,50,40,40,40,90,1,False
60,61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False
61,62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False
71,72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False
72,73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False
78,79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False
79,80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False
85,86,Seel,Water,,325,65,45,55,45,70,45,1,False
86,87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False
89,90,Shellder,Water,,305,30,65,100,45,25,40,1,False
90,91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
97,98,Krabby,Water,,325,30,105,90,25,25,50,1,False
98,99,Kingler,Water,,475,55,130,115,50,50,75,1,False
115,116,Horsea,Water,,295,30,40,70,70,25,60,1,False
116,117,Seadra,Water,,440,55,65,95,95,45,85,1,False
117,118,Goldeen,Water,,320,45,67,60,35,50,63,1,False
118,119,Seaking,Water,,450,80,92,65,65,80,68,1,False
119,120,Staryu,Water,,340,30,45,55,70,55,85,1,False
120,121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False
128,129,Magikarp,Water,,200,20,10,55,15,20,80,1,False
129,130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False
130,131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False
133,134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False
